date,time,open,max,min,close,volume,turnover
2016/11/21,935,3188.5,3218.85,3188.43,3213.02,926,92608495616.0
2016/11/21,1035,3213.05,3229.71,3211.51,3220.27,617,61731192832.0
2016/11/21,1305,3220.44,3222.0,3211.6,3213.98,494,49413259264.0
2016/11/21,1405,3214.28,3218.21,3204.67,3218.15,594,59424866304.0
2016/11/22,935,3220.98,3233.82,3220.98,3225.13,936,93621256192.0
2016/11/22,1035,3225.43,3241.65,3225.0,3241.31,588,58872823808.0
2016/11/22,1305,3243.34,3247.22,3240.0,3241.07,642,64255016960.0
2016/11/22,1405,3240.86,3249.6,3237.51,3248.35,757,75735744512.0
2016/11/23,935,3247.94,3262.88,3245.09,3253.19,1035,103560724480.0
2016/11/23,1035,3253.16,3257.45,3244.89,3255.84,554,55454367744.0
2016/11/23,1305,3255.85,3257.09,3246.48,3248.42,480,48035053568.0
2016/11/23,1405,3247.81,3248.56,3231.74,3241.14,708,70892322816.0
2016/11/24,935,3237.43,3244.89,3235.68,3241.85,838,83878461440.0
2016/11/24,1035,3241.6,3249.02,3241.14,3244.21,575,57564446720.0
2016/11/24,1305,3244.35,3257.72,3243.28,3245.14,541,54159261696.0
2016/11/24,1405,3244.73,3246.66,3232.94,3241.74,716,71622541312.0
2016/11/25,935,3241.24,3251.38,3209.68,3215.36,1094,109441097728.0
2016/11/25,1035,3214.82,3238.29,3214.82,3237.64,446,44674916352.0
2016/11/25,1305,3237.95,3241.78,3233.59,3241.69,359,35926638592.0
2016/11/25,1405,3241.92,3262.32,3241.92,3261.94,690,69074386944.0
2016/11/28,935,3270.05,3286.48,3270.05,3276.88,1148,114870976512.0
2016/11/28,1035,3276.43,3278.74,3267.67,3278.51,482,48242720768.0
2016/11/28,1305,3278.58,3284.41,3276.32,3280.92,531,53173534720.0
2016/11/28,1405,3280.44,3288.34,3271.89,3277.0,841,84172914688.0
2016/11/29,935,3269.23,3282.05,3263.4,3277.18,1041,104167849984.0
2016/11/29,1035,3277.42,3293.43,3277.37,3291.66,691,69182193664.0
2016/11/29,1305,3293.33,3297.32,3273.34,3279.14,756,75664474112.0
2016/11/29,1405,3279.22,3301.21,3278.52,3282.92,991,99134832640.0
2016/11/30,935,3272.14,3277.15,3253.98,3261.7,1070,107094360064.0
2016/11/30,1035,3261.57,3263.83,3246.53,3251.4,496,49629020160.0
2016/11/30,1305,3250.96,3256.81,3246.63,3247.7,429,42976182272.0
2016/11/30,1405,3247.77,3252.86,3239.6,3250.03,631,63109169152.0
2016/12/01,935,3257.03,3275.23,3257.03,3273.93,863,86320783360.0
2016/12/01,1035,3273.77,3279.22,3266.8,3267.08,589,58991583232.0
2016/12/01,1305,3267.7,3268.98,3260.08,3264.08,491,49189961728.0
2016/12/01,1405,3264.52,3274.07,3256.31,3273.31,670,67051601920.0
2016/12/02,935,3270.12,3279.31,3265.36,3269.22,995,99588227072.0
2016/12/02,1035,3269.49,3269.49,3246.67,3247.67,585,58565935104.0
2016/12/02,1305,3247.35,3254.24,3235.4,3251.0,537,53707456512.0
2016/12/02,1405,3250.26,3251.47,3240.8,3243.84,696,69697486848.0
2016/12/05,935,3203.78,3219.36,3199.02,3210.19,925,92579389440.0
2016/12/05,1035,3210.56,3218.89,3198.0,3201.74,495,49505640448.0
2016/12/05,1305,3202.47,3208.64,3196.53,3199.63,368,36853153792.0
2016/12/05,1405,3200.09,3204.97,3194.91,3204.71,596,59659845632.0
2016/12/06,935,3202.03,3215.31,3202.03,3207.42,652,65258975232.0
2016/12/06,1035,3207.52,3209.15,3201.23,3207.37,362,36265619456.0
2016/12/06,1305,3207.51,3208.42,3199.86,3206.13,289,28947570688.0
2016/12/06,1405,3205.84,3209.1,3196.62,3199.65,466,46697988096.0
2016/12/07,935,3198.47,3201.92,3189.71,3192.06,615,61527351296.0
2016/12/07,1035,3192.0,3203.1,3189.65,3202.98,370,37025521664.0
2016/12/07,1305,3203.39,3215.6,3203.39,3211.13,391,39112687616.0
2016/12/07,1405,3211.27,3222.24,3209.8,3222.24,517,51778289664.0
2016/12/08,935,3225.55,3227.92,3218.6,3223.24,735,73557319680.0
2016/12/08,1035,3223.1,3224.98,3215.46,3220.53,396,39615774720.0
2016/12/08,1305,3220.23,3226.02,3215.05,3224.25,320,32044916736.0
2016/12/08,1405,3224.66,3224.66,3211.47,3215.37,525,52584054784.0
2016/12/09,935,3209.34,3228.92,3207.05,3223.06,725,72565497856.0
2016/12/09,1035,3223.29,3237.58,3222.2,3237.58,477,47711911936.0
2016/12/09,1305,3238.46,3244.79,3235.37,3238.8,464,46437736448.0
2016/12/09,1405,3239.14,3240.22,3222.4,3232.88,596,59672002560.0
2016/12/12,935,3233.67,3244.9,3204.52,3208.44,973,97334116352.0
2016/12/12,1035,3208.52,3209.12,3166.76,3167.37,597,59732606976.0
2016/12/12,1305,3164.0,3176.58,3152.92,3152.92,550,55088775168.0
2016/12/12,1405,3153.17,3167.14,3149.94,3152.97,821,82104647680.0
2016/12/13,935,3138.99,3145.85,3128.49,3136.08,742,74298966016.0
2016/12/13,1035,3136.58,3136.62,3118.75,3132.14,406,40660164608.0
2016/12/13,1305,3132.03,3151.36,3131.29,3145.93,361,36154810368.0
2016/12/13,1405,3146.16,3162.5,3145.52,3155.04,520,52061519872.0
2016/12/14,935,3149.38,3164.9,3143.95,3146.16,787,78737915904.0
2016/12/14,1035,3146.35,3157.31,3136.38,3157.06,452,45249470464.0
2016/12/14,1305,3157.68,3170.02,3154.2,3163.34,401,40177164288.0
2016/12/14,1405,3163.23,3163.99,3138.81,3140.53,550,55041605632.0
2016/12/15,935,3125.76,3138.78,3111.17,3123.23,845,84508712960.0
2016/12/15,1035,3123.51,3138.08,3122.55,3131.31,409,40912232448.0
2016/12/15,1305,3131.67,3134.06,3112.43,3116.98,337,33765998592.0
2016/12/15,1405,3117.04,3118.32,3100.91,3117.68,536,53676294144.0
2016/12/16,935,3111.51,3122.84,3106.54,3120.86,704,70410952704.0
2016/12/16,1035,3120.08,3128.27,3114.87,3116.48,363,36330987520.0
2016/12/16,1305,3117.28,3122.64,3110.34,3122.19,327,32786497536.0
2016/12/16,1405,3121.86,3126.65,3116.05,3122.98,503,50316312576.0
2016/12/19,935,3120.7,3125.03,3110.4,3123.61,671,67152941056.0
2016/12/19,1035,3123.7,3124.69,3114.74,3122.57,319,31947051008.0
2016/12/19,1305,3123.22,3125.06,3117.54,3117.68,292,29209993216.0
2016/12/19,1405,3117.66,3120.68,3110.91,3118.08,461,46190247936.0
2016/12/20,935,3115.9,3116.86,3098.53,3102.65,611,61172830208.0
2016/12/20,1035,3102.0,3104.57,3088.14,3102.02,356,35699650560.0
2016/12/20,1305,3102.2,3103.99,3089.76,3092.91,280,28003868672.0
2016/12/20,1405,3093.16,3103.47,3084.8,3102.88,467,46735532032.0
2016/12/21,935,3107.24,3124.63,3107.24,3123.78,660,66014355456.0
2016/12/21,1035,3123.51,3132.5,3119.86,3132.36,439,43945107456.0
2016/12/21,1305,3133.23,3140.25,3132.0,3132.6,437,43769839616.0
2016/12/21,1405,3133.0,3138.54,3124.61,3137.43,505,50518507520.0
2016/12/22,935,3132.16,3141.24,3129.42,3133.53,727,72776007680.0
2016/12/22,1035,3133.68,3136.94,3128.59,3131.76,328,32824844288.0
2016/12/22,1305,3131.92,3134.17,3127.0,3134.17,324,32489496576.0
2016/12/22,1405,3133.47,3143.13,3133.47,3139.56,478,47891202048.0
2016/12/23,935,3134.93,3138.4,3117.7,3123.61,696,69649588224.0
2016/12/23,1035,3123.6,3128.1,3118.75,3120.45,349,34911215616.0
2016/12/23,1305,3120.38,3120.58,3107.09,3107.2,353,35388391424.0
2016/12/23,1405,3107.74,3115.67,3103.75,3110.15,493,49331978240.0
2016/12/26,935,3095.58,3095.58,3069.48,3077.34,637,63785590784.0
2016/12/26,1035,3077.3,3087.4,3068.42,3085.82,299,29982883840.0
2016/12/26,1305,3086.43,3098.47,3082.55,3097.05,243,24383987712.0
2016/12/26,1405,3097.94,3122.88,3097.61,3122.57,524,52403142656.0
2016/12/27,935,3117.39,3127.71,3115.31,3119.48,596,59606573056.0
2016/12/27,1035,3119.91,3122.06,3115.63,3121.67,311,31126732800.0
2016/12/27,1305,3122.67,3124.07,3116.95,3120.23,284,28465848320.0
2016/12/27,1405,3119.83,3121.4,3113.75,3114.66,429,42994761728.0
2016/12/28,935,3113.77,3118.78,3108.4,3111.8,561,56125882368.0
2016/12/28,1035,3112.27,3115.66,3104.25,3106.24,292,29202702336.0
2016/12/28,1305,3106.2,3109.01,3100.44,3105.58,252,25257254912.0
2016/12/28,1405,3105.56,3108.36,3094.55,3102.24,437,43743805440.0
2016/12/29,935,3095.84,3099.55,3091.44,3093.35,462,46206697472.0
2016/12/29,1035,3093.28,3109.51,3087.57,3109.14,307,30755004416.0
2016/12/29,1305,3110.49,3111.8,3099.8,3099.92,257,25779322880.0
2016/12/29,1405,3100.03,3105.57,3095.45,3096.1,471,47178162176.0
2016/12/30,935,3097.35,3108.81,3097.35,3101.31,470,47095152640.0
2016/12/30,1035,3101.36,3102.2,3094.08,3098.31,280,28095692800.0
2016/12/30,1305,3098.14,3107.48,3097.89,3107.18,226,22634078208.0
2016/12/30,1405,3107.32,3107.47,3089.99,3103.64,539,53907857408.0
2017/01/03,935,3105.31,3130.97,3105.31,3130.79,589,58987261952.0
2017/01/03,1035,3130.82,3133.53,3123.02,3125.56,316,31625048064.0
2017/01/03,1305,3125.67,3133.9,3125.21,3131.51,277,27703894016.0
2017/01/03,1405,3131.81,3136.46,3129.18,3135.92,415,41570942976.0
2017/01/04,935,3133.79,3141.19,3130.24,3138.08,622,62201937920.0
2017/01/04,1035,3138.77,3148.38,3137.81,3148.29,383,38346817536.0
2017/01/04,1305,3148.83,3157.18,3147.92,3156.91,422,42248896512.0
2017/01/04,1405,3157.21,3160.02,3152.4,3158.79,531,53116633088.0
2017/01/05,935,3157.91,3165.95,3154.42,3164.49,704,70499958784.0
2017/01/05,1035,3164.44,3164.8,3157.43,3162.37,374,37479899136.0
2017/01/05,1305,3161.89,3166.79,3156.63,3166.76,357,35791609856.0
2017/01/05,1405,3166.21,3168.37,3161.63,3165.41,559,55920558080.0
2017/01/06,935,3163.78,3172.02,3162.18,3162.68,800,80017154048.0
2017/01/06,1035,3162.1,3167.05,3159.06,3161.77,383,38310879232.0
2017/01/06,1305,3162.1,3162.18,3153.27,3160.52,386,38674923520.0
2017/01/06,1405,3159.87,3163.7,3153.07,3154.32,502,50293080064.0
2017/01/09,935,3148.53,3159.84,3147.74,3157.49,634,63434022912.0
2017/01/09,1035,3156.91,3171.89,3155.99,3171.87,417,41730596864.0
2017/01/09,1305,3172.22,3173.09,3165.23,3165.38,368,36854562816.0
2017/01/09,1405,3165.67,3171.6,3161.93,3171.24,500,50091393024.0
2017/01/10,935,3167.57,3169.87,3157.33,3161.11,677,67707473920.0
2017/01/10,1035,3161.12,3169.85,3160.55,3169.17,338,33869271040.0
2017/01/10,1305,3169.56,3170.75,3164.32,3169.51,377,37777711104.0
2017/01/10,1405,3170.03,3174.54,3159.49,3161.67,556,55608754176.0
2017/01/11,935,3156.69,3167.01,3152.39,3159.63,639,63999086592.0
2017/01/11,1035,3158.8,3159.7,3144.99,3144.99,394,39452241920.0
2017/01/11,1305,3144.5,3147.93,3137.06,3143.95,333,33328365568.0
2017/01/11,1405,3144.12,3153.42,3136.65,3136.75,524,52406763520.0
2017/01/12,935,3133.6,3144.75,3132.86,3133.38,517,51763802112.0
2017/01/12,1035,3133.29,3144.27,3132.81,3143.06,298,29803278336.0
2017/01/12,1305,3143.65,3144.81,3127.1,3127.1,301,30116184064.0
2017/01/12,1405,3127.12,3129.16,3116.09,3119.29,502,50239037440.0
2017/01/13,935,3116.08,3123.83,3105.63,3109.62,554,55423586304.0
2017/01/13,1035,3109.42,3130.51,3104.17,3122.93,357,35768774656.0
2017/01/13,1305,3122.69,3123.59,3108.54,3112.53,250,25013116928.0
2017/01/13,1405,3113.25,3113.95,3102.52,3112.76,582,58233069568.0
2017/01/16,935,3104.49,3104.49,3076.75,3089.01,580,58026385408.0
2017/01/16,1035,3089.1,3089.91,3066.86,3069.15,388,38890061824.0
2017/01/16,1305,3068.31,3095.85,3065.94,3095.48,371,37105672192.0
