datetime,open,max,min,close,volume,,,,,,,
 2015/03/19-10:30,3576.02,3584.31,3546.84,3574.3,23981342,           ,           ,           ,           ,           ,           ,           
 2015/03/19-13:00,3574.02,3600.68,3565.78,3586.99,12791837,           ,           ,           ,           ,           ,           ,           
 2015/03/19-14:00,3587.69,3595.18,3561.69,3565.22,11923714,           ,           ,           ,           ,           ,           ,           
 2015/03/19-15:00,3565,3583.15,3552.21,3582.27,12528074,           ,           ,           ,           ,           ,           ,           
 2015/03/20-10:30,3587.08,3599.2,3569.92,3577.14,19797851,           ,           ,           ,           ,           ,           ,           
 2015/03/20-13:00,3577.33,3603.04,3569.42,3573.74,13732521,           ,           ,           ,           ,           ,           ,           
 2015/03/20-14:00,3574.07,3630.78,3571.2,3630.78,16878442,           ,           ,           ,           ,           ,           ,           
 2015/03/20-15:00,3630.65,3632.07,3601.18,3617.32,14768379,           ,           ,           ,           ,           ,           ,           
 2015/03/23-10:30,3640.1,3662.79,3635.84,3662.79,24366330,           ,           ,           ,           ,           ,           ,           
 2015/03/23-13:00,3662.93,3676.38,3651.1,3676.2,13170451,           ,           ,           ,           ,           ,           ,           
 2015/03/23-14:00,3676.89,3685.52,3650.21,3655.93,13187858,           ,           ,           ,           ,           ,           ,           
 2015/03/23-15:00,3655.75,3688.25,3654.03,3687.73,15432823,           ,           ,           ,           ,           ,           ,           
 2015/03/24-10:30,3692.57,3692.57,3664.68,3688.65,24193147,           ,           ,           ,           ,           ,           ,           
 2015/03/24-11:30,3689.54,3715.87,3600.8,3637.99,24228865,           ,           ,           ,           ,           ,           ,           
 2015/03/24-14:00,3638.11,3683.75,3631.51,3666.94,12260107,           ,           ,           ,           ,           ,           ,           
 2015/03/24-15:00,3666.42,3692.74,3661.62,3691.41,14806351,           ,           ,           ,           ,           ,           ,           
 2015/03/25-10:30,3680.95,3686.35,3655.99,3677.96,23569959,           ,           ,           ,           ,           ,           ,           
 2015/03/25-11:30,3678.26,3692.47,3646.07,3652.57,13143306,           ,           ,           ,           ,           ,           ,           
 2015/03/25-14:00,3653.21,3664.19,3634.63,3657.83,12163058,           ,           ,           ,           ,           ,           ,           
 2015/03/25-15:00,3657.65,3687.58,3657.45,3660.73,15673566,           ,           ,           ,           ,           ,           ,           
 2015/03/26-10:30,3641.94,3690.4,3615.01,3681.48,23718611,           ,           ,           ,           ,           ,           ,           
 2015/03/26-11:30,3681.44,3707.15,3641.54,3672.75,15708978,           ,           ,           ,           ,           ,           ,           
 2015/03/26-14:00,3673.3,3696.93,3673.3,3690.73,9947987,           ,           ,           ,           ,           ,           ,           
 2015/03/26-15:00,3690.78,3693.51,3654.33,3682.1,12575981,           ,           ,           ,           ,           ,           ,           
 2015/03/27-10:30,3686.13,3691.96,3659.38,3662.46,18921853,           ,           ,           ,           ,           ,           ,           
 2015/03/27-11:30,3662.34,3693.06,3656.88,3692.99,9731658,           ,           ,           ,           ,           ,           ,           
 2015/03/27-14:00,3695.83,3710.08,3693.16,3706.67,10524327,           ,           ,           ,           ,           ,           ,           
 2015/03/27-15:00,3706.64,3706.88,3684.64,3691.1,11752006,           ,           ,           ,           ,           ,           ,           
 2015/03/30-10:30,3710.61,3740.97,3710.61,3740.67,24472716,           ,           ,           ,           ,           ,           ,           
 2015/03/30-11:30,3741,3764.4,3738.25,3750.92,15015920,           ,           ,           ,           ,           ,           ,           
 2015/03/30-14:00,3751.37,3776.46,3751.37,3771.18,14086795,           ,           ,           ,           ,           ,           ,           
 2015/03/30-15:00,3771.14,3795.52,3769.92,3786.57,15637102,           ,           ,           ,           ,           ,           ,           
 2015/03/31-10:30,3822.99,3835.01,3788.99,3803.1,32851587,           ,           ,           ,           ,           ,           ,           
 2015/03/31-11:30,3802.93,3816.01,3777.81,3790.81,11728885,           ,           ,           ,           ,           ,           ,           
 2015/03/31-14:00,3790.85,3806.1,3785.08,3800.69,9409927,           ,           ,           ,           ,           ,           ,           
 2015/03/31-15:00,3801.23,3805.76,3737.53,3747.9,18139089,           ,           ,           ,           ,           ,           ,           
 2015/04/01-10:30,3748.34,3780.11,3742.21,3770.23,18561243,           ,           ,           ,           ,           ,           ,           
 2015/04/01-11:30,3769.4,3800.24,3768.39,3799.85,11514953,           ,           ,           ,           ,           ,           ,           
 2015/04/01-14:00,3804.92,3808.73,3781.5,3791.53,13576224,           ,           ,           ,           ,           ,           ,           
 2015/04/01-15:00,3791.08,3816.75,3790.13,3810.29,15589408,           ,           ,           ,           ,           ,           ,           
 2015/04/02-10:30,3827.69,3832.41,3794.47,3804.38,23514604,           ,           ,           ,           ,           ,           ,           
 2015/04/02-11:30,3804.97,3835.1,3804.97,3817.6,11827458,           ,           ,           ,           ,           ,           ,           
 2015/04/02-14:00,3817.96,3825.07,3775.89,3780.88,14080953,           ,           ,           ,           ,           ,           ,           
 2015/04/02-15:00,3782.01,3826.87,3782.01,3825.78,13779874,           ,           ,           ,           ,           ,           ,           
 2015/04/03-10:30,3803.38,3848.75,3792.32,3845.57,21581844,           ,           ,           ,           ,           ,           ,           
 2015/04/03-11:30,3845.28,3854.84,3809.08,3819.96,15315030,           ,           ,           ,           ,           ,           ,           
 2015/04/03-14:00,3821.56,3846.18,3821.25,3845.79,10423110,           ,           ,           ,           ,           ,           ,           
