date	time	open	max	min	close	volume	turnover
2016/11/21	0935	10877.08	10900.97	10875.62	10900.97	1815375	18153750528.00
2016/11/21	0940	10900.37	10911.49	10899.17	10908.72	1308592	13085929472.00
2016/11/21	0945	10908.24	10914.74	10906.24	10910.44	1125756	11257569280.00
2016/11/21	0950	10910.20	10916.81	10905.33	10905.95	1065155	10651557888.00
2016/11/21	0955	10906.03	10906.17	10898.70	10903.98	963282	9632829440.00
2016/11/21	1000	10904.46	10912.36	10904.46	10910.79	881270	8812707840.00
2016/11/21	1005	10911.14	10923.38	10910.76	10922.79	895980	8959803392.00
2016/11/21	1010	10922.86	10922.86	10917.88	10920.04	749057	7490576384.00
2016/11/21	1015	10921.36	10925.23	10916.99	10916.99	762030	7620304896.00
2016/11/21	1020	10916.95	10917.07	10912.21	10912.87	725528	7255285760.00
2016/11/21	1025	10913.08	10917.35	10912.59	10912.59	734927	7349272576.00
2016/11/21	1030	10912.72	10913.84	10910.66	10911.72	769748	7697489920.00
2016/11/21	1035	10911.45	10913.98	10908.69	10912.52	655248	6552485888.00
2016/11/21	1040	10912.77	10917.97	10912.25	10917.47	616280	6162800640.00
2016/11/21	1045	10918.76	10933.35	10918.35	10933.16	692118	6921183232.00
2016/11/21	1050	10933.20	10945.32	10932.40	10944.54	646725	6467256320.00
2016/11/21	1055	10944.23	10945.19	10942.26	10944.39	589766	5897666560.00
2016/11/21	1100	10943.80	10953.55	10943.80	10952.33	617817	6178177024.00
2016/11/21	1105	10952.74	10955.44	10948.06	10949.97	544923	5449236480.00
2016/11/21	1110	10949.69	10949.69	10947.27	10948.21	499054	4990550016.00
2016/11/21	1115	10948.74	10951.47	10938.41	10938.43	569440	5694406656.00
2016/11/21	1120	10938.45	10938.45	10923.48	10924.25	615530	6155304960.00
2016/11/21	1125	10924.35	10924.57	10913.07	10913.07	498058	4980588544.00
2016/11/21	1130	10914.03	10916.46	10911.91	10916.46	494760	4947607552.00
2016/11/21	1305	10916.66	10919.75	10910.28	10910.28	526262	5262622720.00
2016/11/21	1310	10910.29	10910.29	10897.83	10898.04	463316	4633165824.00
2016/11/21	1315	10897.86	10898.73	10893.51	10895.35	514611	5146116096.00
2016/11/21	1320	10896.08	10904.63	10895.65	10902.50	543970	5439700992.00
2016/11/21	1325	10902.10	10904.60	10900.06	10903.23	508552	5085528064.00
2016/11/21	1330	10903.13	10903.78	10898.85	10903.78	533248	5332484096.00
2016/11/21	1335	10903.01	10907.78	10901.82	10907.78	538039	5380390912.00
2016/11/21	1340	10907.58	10908.06	10901.78	10901.87	518599	5185994752.00
